rho,p,cohort_comparison,chromosome
0.18161549860809398,0.005738894813512198,8N vs K,Chromosome 5
0.5988588590069508,8.95557965640601e-24,8N vs Lesina,Chromosome 5
0.39114062318922765,7.934239899011049e-10,K vs Lesina,Chromosome 5
0.4838816006328697,5.877302696000947e-13,8N vs K,Chromosome Z
0.9374554621110097,2.616198390275125e-91,8N vs Lesina,Chromosome Z
0.9188131182329878,1.1568860672273093e-80,K vs Lesina,Chromosome Z
